orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Aspect,Degree,PronType
προσέτι,προσέτι,προσέτι,προσέτι,́τι,π,-20.0,ADV,d--------,,advmod,0.0,φιλάνθρωπον,(),False,xxxx́xx,False,False,False,False,,,,,,,,,,,
φιλάνθρωπον,φιλάνθρωπον,φιλάνθρωπος,φιλάνθρωπον,πον,φ,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,conj,0.0,φιλάρετον,"(φιλάρετον, φιλόκαλον)",False,xxxx́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,,,,
τἀγαθὰ,τἀγαθὰ,τἀγαθὰ,τἀγαθὰ,θὰ,τ,-20.0,ADJ,a-p---na-,Case=Acc|Gender=Neut|Number=Plur,nsubj,0.0,παρασχεῖν,(),False,xx̓xxxx̀,False,False,False,False,Acc,Neut,Plur,,,,,,,,
αὐτόματα,αὐτόματα,αὐτόματος,αὐτόματα,ατα,α,-20.0,ADJ,a-p---na-,Case=Acc|Gender=Neut|Number=Plur,xcomp,0.0,παρασχεῖν,(),False,xx̓xx́xxxx,False,False,False,False,Acc,Neut,Plur,,,,,,,,
παρασχεῖν,παρασχεῖν,παρασχεῖν,παρασχεῖν,ῖν,π,-20.0,VERB,v--ana---,Tense=Past|VerbForm=Inf|Voice=Act,ccomp,0.0,ἐλπὶς,(),False,xxxx͂x,False,False,False,False,,,,,,Past,Inf,Act,,,
ἐκ,ἐκ,ἐκ,ἐκ,ἐκ,ε,-20.0,ADP,r--------,,case,0.0,ἑτοίμου,(),False,x̓x,False,False,False,False,,,,,,,,,,,
ἑτοίμου,ἑτοίμου,ἑτοίμος,ἑτοίμου,μου,ε,-20.0,ADJ,a-s---ng-,Case=Gen|Gender=Neut|Number=Sing,obl,0.0,παρασχεῖν,(),False,x̔xxx́xxx,False,False,False,False,Gen,Neut,Sing,,,,,,,,
τῷ,τῷ,τῷ,τῷ,ῷ,τ,-20.0,DET,l-s---nd-,Case=Dat|Gender=Neut|Number=Sing,det,0.0,γένει,(),False,xx͂ͅ,False,False,False,False,Dat,Neut,Sing,,,,,,,,
γένει,γένει,γένος,γένει,νει,γ,-20.0,NOUN,n-s---nd-,Case=Dat|Gender=Neut|Number=Sing,nmod,0.0,ἑτοίμου,(),False,xx́xxx,False,False,False,False,Dat,Neut,Sing,,,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἐξευμαρισθεῖεν,(),False,·,False,True,False,False,,,,,,,,,,,
δῆλον,δῆλον,δῆλος,δῆλον,λον,δ,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,ROOT,0.0,δῆλον,(),False,xx͂xxx,False,False,False,False,Nom,Neut,Sing,,,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,δῆλον,(),False,xx̀x,False,False,False,False,,,,,,,,,,,
ὡς,ὡς,ὡς,ὡς,ὡς,ω,-20.0,SCONJ,c--------,,mark,0.0,εὐμαρέστερον,(),False,x̔x,False,False,False,False,,,,,,,,,,,
